,Annual,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Indonesia,2782.29,281.61,256.38,290.57,278.61,227.23,186.2,167.26,162.13,166.72,211.66,256.6,297.32
Sumatera Selatan,2627.81,276.8,246.74,340.11,285.79,172.7,112.18,131.11,101.26,130.96,219.99,293.53,316.63
Sulawesi Utara,2538.6,335.67,253.96,249.55,209.97,199.74,225.75,173.3,108.5,99.63,177.16,232.82,272.55
Sulawesi Selatan,2685.28,302.67,312.31,289.36,312.64,241.04,208.24,163.36,111.1,94.81,115.57,216.15,318.02
Bengkulu,2721.37,285.37,229.86,295.38,269.29,176.13,132.7,156.57,138.72,178.33,260.24,308.43,290.36
Bali,2118.98,341.49,330.84,269.5,166.25,113.81,78.65,77.46,39.91,57.23,143.03,187.92,312.89
Sumatera Barat,2721.65,281.09,220.34,277.39,296.6,179.93,134.41,163.12,153.87,200.27,234.36,288.58,291.7
Nangroe Aceh Darussalam,2518.26,230.3,140.31,209.22,192.03,188.72,150.77,138.57,178.35,221.6,293.56,291.42,283.4
Sulawesi Tenggara,2170.46,191.42,222.19,241.64,261.4,242.91,227.68,162.02,98.76,80.46,80.94,134.18,226.85
Sulawesi Tengah,1827.14,149.56,156.56,175.86,179.47,177.3,171.98,181.01,143.77,95.44,106.94,140.94,148.3
Jambi,2693.13,277.38,213.2,316.91,317.29,188.74,117.19,154.59,125.98,161.45,226.84,299.48,294.08
Sulawesi Barat,2709.24,311.93,329.5,300.97,299.47,216.41,179.91,153.19,118.64,121.64,127.73,238.85,311
Dki Jakarta,2453.28,388.72,355.8,274.9,248.78,186.53,121.1,94.75,67.4,92.35,176.14,207.86,238.96
Riau,2501.01,222.84,181.64,238.8,250.8,189.99,150.8,147.14,168.79,193.52,217.94,270.91,267.84
Daerah Istimewa Yogyakarta,2315.51,357.81,374.58,333.34,209.91,130.37,61.37,38,22.24,43.04,150.1,260.87,333.87
Sumatera Utara,2802.96,270.48,171.29,231.59,221.36,200.4,171.6,167.42,201.67,262.95,294.9,298.59,310.73
Papua,3312.03,308.82,288.07,357.17,330.15,289.14,260.19,252.97,260.13,230.85,246,219.77,268.76
Maluku Utara,2204.56,170.03,157.77,173.39,190,227.24,281.51,251.1,179.47,132.08,124.47,154.62,162.88
Maluku,2387.87,233.06,207.95,232.04,210.75,247.66,244.73,228.08,168.26,136.4,115.25,131.97,231.73
Kepulauan-riau,2683.26,246.58,163.45,209.31,208.55,214.16,182.64,206.5,175.2,186.99,240.69,298.51,350.69
Jawa Barat,2919.45,363.57,350.24,345.67,309.43,206.7,121.45,101.6,66.5,109.73,247.83,347.68,349.05
Papua Barat,3075.08,274.63,262.88,312.79,285.6,301.5,264.16,258.79,231.62,200.31,204.28,219.48,259.05
Gorontalo,2152.1,241.47,200.51,180.93,174.04,178.5,200.6,205.52,132.99,100.19,180.42,183,173.93
Banten,3174.01,391.75,384.14,358.3,320.78,239.54,155.38,143.32,111.17,145.3,261.97,323.27,339.08
Kalimantan Timur,2699.08,241.1,227.81,265.17,273.89,255.34,199.97,158.1,156.03,158.86,195.74,274.62,292.44
Kalimantan Tengah,2883.39,275.4,271.31,302.96,317.37,237.4,176.85,122.51,140.18,169.64,216.58,299.97,353.22
Kalimantan Selatan,2569.77,310.26,299.09,288.13,232.95,178.17,168.54,122.69,89.19,120.58,124.9,257.99,377.28
Kalimantan Barat,3353.51,337.65,301.08,288.71,333.22,261.95,210.15,169.66,211.61,207.15,310.38,331.36,390.59
Jawa Timur,2164.98,342.53,306.03,296.72,223.68,125.93,80.48,45.26,24.65,43.13,133.97,221.32,321.28
Jawa Tengah,2785.56,425.72,410.77,354.69,275.34,170.27,90.12,56.19,42.35,68.45,196.99,312.06,382.61
Nusatenggara Timur,1834.49,323.61,312.99,280.49,161.11,98.43,45.66,23.11,9.74,31.12,74.26,184.17,289.79
Bangka Belitung,2548.76,266.73,200.49,234.3,286.91,211.58,149.65,137.58,87.48,112.54,198.64,294.81,368.05
Nusatenggara Barat,1806.89,316.31,319.1,240.68,157.17,91.99,37.59,30.96,16.61,24.46,95.24,187.1,289.66
Lampung,2507.53,281.15,279.38,303.43,259.79,170.8,135.71,129.45,111.91,131.19,191.79,238.77,274.15
