,Indonesia,Nangroe Aceh Darussalam,Bali,Bengkulu,Daerah Istimewa Yogyakarta,Dki Jakarta,Jambi,Jawa Tengah,Jawa Timur,Kalimantan Barat,Kalimantan Selatan,Kalimantan Tengah,Kalimantan Timur,Lampung,Nusatenggara Barat,Nusatenggara Timur,Sulawesi Tengah,Sulawesi Tenggara,Sumatera Barat,Sumatera Utara,Bangka Belitung,Banten,Gorontalo,Papua Barat,Jawa Barat,Kepulauan-riau,Maluku,Maluku Utara,Papua,Riau,Sulawesi Barat,Sulawesi Selatan,Sulawesi Utara,Sumatera Selatan
1901,2707.15,2350.16,2485.27,2756.8,2217.35,2571.4,2673.11,2689.61,2187.89,3067.57,2548.72,2822.82,2629.34,2557.5,1903.72,1905.88,1810.54,2167.55,2794.03,2256.87,2546.37,3331.59,1976.33,2962.31,2950.69,2434.48,2513.81,2278,3335.33,2252.06,2736.45,2655.85,2244.1,2556.2
1902,2556.1,2278.19,1970.37,2569.83,1697.9,1715.6,2318.95,2005.51,1718.5,3155.7,2501.52,2730.91,2693.62,2028.58,1722.21,1595.37,1797.25,2167.55,2304.63,2760.38,1753.52,2237.36,1731.15,2494.99,1964.69,2336.6,2077.62,1902.93,3283.09,2260.9,2736.45,2655.85,1809.62,2096.22
1903,2786.83,2311.67,2115.45,2842.48,2498.8,2601.4,2990.41,3039.04,2311.83,3161.59,2557.31,2840.87,2570.92,2614.79,1624.91,1857.16,1815.26,2167.55,3159.77,2622.95,2846.5,3431.08,1999.68,3177.65,3091.63,2784.63,2571.53,2328.74,3309.47,2529.38,2736.45,2655.85,2219.3,2798.01
1904,2778.64,2424.8,2248.14,2693.89,2685.23,2931.6,2667.01,3270.02,2613.56,2991.84,2541.23,2863.78,2626.72,2847.09,1617.38,2037.65,1817.44,2167.55,2605.86,2568.49,2927.33,3914.59,2095.1,3144.05,3482.87,2579.28,2585.5,2343.96,3307.19,2244.32,2736.45,2655.85,2509.31,2795.17
1905,2692.19,2272.65,1824.05,2750.03,2097.49,1974.6,2742.71,2529.23,1971.55,3225.63,2521.99,2891.21,2542.11,2152.43,1481.1,1764.86,1800.83,2167.55,2890.75,2780.85,2498.07,2511.36,1745.15,2993.6,2381.62,2589.47,2471.39,2201.84,3297.55,2497.92,2736.45,2655.85,1697.59,2488.93
1906,2862.95,2589.77,2878.56,2804.23,2867.53,2672.9,2882.95,3474.97,2835.08,3412.55,2576.87,3040.4,2565.44,2678.89,2116.6,1739.83,1805.41,2167.55,3099.74,2948.38,2935.57,3537.58,1889.02,2852.04,3366.66,2887.54,2475.05,2220.32,3319.09,2767.91,2736.45,2655.85,2007.77,2768.14
1907,2742.07,2731.95,2178.24,2746.88,2378.28,2483.5,2585.59,2767.24,2201.25,3305.61,2542.17,2897.1,2608.61,2696.68,1711.26,1612.83,1817.59,2146.59,2821.19,2745,2478.73,3302.77,2058.6,2839.08,2909.59,2372.62,2316.36,2167.94,3307.53,2358.73,2736.42,2651.86,2340.2,2549.56
1908,2801.24,2627.39,2310.85,2693.03,2579.68,2537.2,2644.61,3169.68,2540.44,2994,2570.4,2809.9,2535.66,2837.16,1715.68,1761.96,1839,2401.79,2556.5,2725.71,3169.63,3387.05,1839.67,3447.77,3095.02,2643.06,2579.09,2283.83,3357.03,2404.08,2771.37,2764.36,1904.02,3012.67
1909,2938.16,2440.93,2623.77,2776.62,2789.94,3236.2,2751.05,3548.89,2831.6,3512.16,2617.58,3072.76,2591.76,2970.76,1775.74,1882.56,1911.99,2616.08,2818.91,2591.92,2825.85,4283.31,2116.22,3600.99,3873.73,2667.74,2772.68,2476.18,3364.51,2536.23,2786.41,2899.61,2529.9,2809.12
1910,2997.35,2569.04,2477.59,2693.78,2861.77,2711.9,2659,3399.16,2573.81,3558.81,2579.56,3110.14,2948.38,2682.69,2178.8,2302.02,1915.94,3018.18,2564.9,2759.67,2907.84,3548.53,2341.01,3899.86,3382.81,2736.84,2806.56,2542.87,3358.29,2425.45,2778.59,3034.39,3026.3,2813.33
