,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,281.37,252.74,278.82,257.9,219.86,196.78,183.68,153.73,157.96,199.58,249.63,275.11
1902,280.33,270.4,273.6,245.76,222.07,159.56,140.03,162.85,142.41,171.4,213.32,274.35
1903,288.82,270.31,289.37,257.64,232.48,181.07,180.82,182.79,171.7,199.34,241.53,290.97
1904,295.04,246.24,267.21,265.4,228.93,179.98,182.89,160.97,178.73,229.01,242.22,302.03
1905,290.24,271.85,278.21,274.44,247.89,164.74,159.74,157.34,167.12,197.44,239.41,243.77
1906,319.46,237.67,285.12,265.95,224.58,205.26,168.02,208.23,176.61,224.17,240.98,306.89
1907,264.22,263.78,284.89,247.55,229.62,190.46,180.44,151.1,169.98,200.2,253.33,306.5
1908,266.8,261.46,259.16,249.7,234.33,190.32,181.37,177.16,204.17,216.29,266.84,293.64
1909,282.58,296.05,278.86,267.26,252.77,227.31,189.54,211.78,169.56,251.17,240.96,270.31
1910,286.29,293.61,278.47,266.12,235.92,230.25,189.67,219.16,197.33,222.18,276.36,301.99
1911,274.68,216.97,227.18,242.83,232.66,161.62,147.49,137.33,146.66,199.89,248.32,308.98
1912,267.8,296.08,265.98,236.29,244.63,196.22,167.48,149.22,150.7,198.8,256.89,285.31
1913,300.31,248.06,305.59,276.81,240.28,187.08,157.9,140.83,153.76,182.55,226.04,292.74
1914,304.31,234.46,268.87,264.85,208.25,173.04,103.4,128.01,111.5,157.28,217.7,269.86
1915,292.76,234.3,263.66,261.39,246.93,180.35,149.19,173.47,182.62,205.12,286.78,284.55
1916,265.18,228.92,312.27,247.45,227.23,178.36,247.15,229.18,192.77,259.21,254.72,287.22
1917,321.99,292.16,305.29,245.44,230.39,191.58,179.58,236.96,194.78,246.68,238.67,293.24
1918,329.39,234.2,237.46,255.56,232.61,180.56,115.07,140.1,138.71,183.33,244.23,278.78
1919,279.36,260.44,269.01,251.46,247.3,144.5,161.94,122.21,169.79,161.05,235.7,286.65
1920,308.59,231.81,273.12,292.84,207.7,182.84,134.55,190.85,178.17,235.23,243.97,239.03
1921,299.06,293.85,311.11,243.06,226.64,184.16,174.81,157.59,187.28,237.24,246.78,266.17
1922,294.32,233.71,291.11,272.93,242.52,170.52,148.07,163.03,147.18,233.14,233.12,260.89
1923,299.14,247.21,255.32,238.45,226.93,168.81,197.51,125.7,132.61,196.28,226.52,280.84
1924,285.08,279.22,328.59,270.59,274.85,198.31,154.57,156.37,175.49,225.47,273.19,265.43
1925,300.23,276.24,273.65,262.76,194.39,176.26,130.72,137.13,169.01,186.55,237.45,302.64
1926,285.73,252.69,271.38,263.66,252.91,166.09,144.18,146.89,162.49,196.52,238.02,297.05
