Country ISO3,Year,Indicator Code,Value
#country+code,#date+year,#indicator+code,#indicator+value+num
IDN,2020,EG.ELC.ACCS.ZS,96.9499969482422
IDN,2019,EG.ELC.ACCS.ZS,98.8499984741211
IDN,2018,EG.ELC.ACCS.ZS,98.5100021362305
IDN,2017,EG.ELC.ACCS.ZS,98.1399993896484
IDN,2016,EG.ELC.ACCS.ZS,97.620002746582
IDN,2015,EG.ELC.ACCS.ZS,97.5373687744141
IDN,2014,EG.ELC.ACCS.ZS,97.0100021362305
IDN,2013,EG.ELC.ACCS.ZS,96.4642562866211
IDN,2012,EG.ELC.ACCS.ZS,96
IDN,2011,EG.ELC.ACCS.ZS,94.8300018310547
IDN,2010,EG.ELC.ACCS.ZS,94.1500015258789
IDN,2009,EG.ELC.ACCS.ZS,93.5500030517578
IDN,2008,EG.ELC.ACCS.ZS,92.7300033569336
IDN,2007,EG.ELC.ACCS.ZS,91.0999984741211
IDN,2006,EG.ELC.ACCS.ZS,90.620002746582
IDN,2005,EG.ELC.ACCS.ZS,85.0383224487305
IDN,2004,EG.ELC.ACCS.ZS,89.0100021362305
IDN,2003,EG.ELC.ACCS.ZS,87.9400024414063
IDN,2002,EG.ELC.ACCS.ZS,87.5999984741211
IDN,2001,EG.ELC.ACCS.ZS,86.2600021362305
IDN,2000,EG.ELC.ACCS.ZS,86.3000030517578
IDN,1999,EG.ELC.ACCS.ZS,83.73
IDN,1998,EG.ELC.ACCS.ZS,80.94
IDN,1997,EG.ELC.ACCS.ZS,80.3
IDN,1996,EG.ELC.ACCS.ZS,72.39
IDN,1995,EG.ELC.ACCS.ZS,66.86
IDN,1994,EG.ELC.ACCS.ZS,62.8
IDN,1993,EG.ELC.ACCS.ZS,55.43
IDN,1992,EG.ELC.ACCS.ZS,66.6965637207031
IDN,1991,EG.ELC.ACCS.ZS,48.9
IDN,2015,IC.ELC.DURS,6
IDN,2009,IC.ELC.DURS,15.5
IDN,2019,IC.ELC.TIME,32.24
IDN,2018,IC.ELC.TIME,34
IDN,2017,IC.ELC.TIME,34
IDN,2016,IC.ELC.TIME,57.68
IDN,2015,IC.ELC.TIME,79
IDN,2014,IC.ELC.TIME,81.34
IDN,2013,IC.ELC.TIME,86.8
