,Annual,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Indonesia,25.95,25.79,25.88,26.07,26.28,26.21,25.86,25.54,25.62,25.81,26.12,26.15,26.02
Sumatera Selatan,27.4,26.74,26.92,27.19,27.72,27.83,27.67,27.37,27.76,27.47,27.71,27.37,27.08
Sulawesi Utara,24.46,24.49,24.53,24.7,24.16,24.96,24.62,24.29,24.36,24.17,24.34,24.38,24.46
Sulawesi Selatan,24.63,24.68,24.67,24.97,24.91,24.75,24.35,23.93,23.95,24.33,24.95,25.18,24.89
Bengkulu,26.32,25.91,25.63,25.9,26.42,26.42,26.42,26.13,26.47,26.53,26.81,26.66,26.51
Bali,25.53,25.75,25.74,25.83,25.84,25.46,25.07,24.82,24.64,25.05,25.91,26.13,26.17
Sumatera Barat,26.61,26.16,26.17,26.59,27,27.09,26.57,26.35,26.47,26.84,26.96,26.66,26.42
Nangroe Aceh Darussalam,25.52,24.98,25.15,25.54,25.99,25.94,25.48,25.31,25.33,25.51,25.75,25.77,25.52
Sulawesi Tenggara,25.52,25.79,25.69,25.74,25.81,25.43,25,24.52,24.56,25.14,25.99,26.45,26.12
Sulawesi Tengah,24.34,24.26,24.26,24.4,24.46,24.56,24.23,23.86,24.02,24.11,24.71,24.63,24.51
Jambi,27.79,27.13,27.21,27.63,28,28.21,28.02,27.71,27.95,28.26,28.08,27.7,27.55
Sulawesi Barat,24.06,23.89,23.92,24.41,24.41,24.26,23.9,23.5,23.62,23.82,24.39,24.39,24.14
Dki Jakarta,28.04,27.21,27.59,27.9,28.42,28.25,28.07,28.04,28.31,28.1,28.7,27.97,27.93
Riau,27.84,27.37,27.65,28.07,28.18,28.37,28.03,27.77,27.76,27.87,27.89,27.71,27.38
Daerah Istimewa Yogyakarta,26.67,26.75,26.78,26.89,27.18,26.76,26.42,26,26.18,26.29,27.06,26.83,26.87
Sumatera Utara,26.34,25.96,26.1,26.5,26.71,26.86,26.51,26.32,26.35,26.25,26.25,26.1,26.13
Papua,24.4,24.64,24.77,24.75,24.81,24.57,24.17,23.53,23.52,23.95,24.5,24.76,24.84
Maluku Utara,25.33,25.29,25.19,25.35,25.48,25.68,25.5,25.3,25.02,25.13,25.3,25.42,25.25
Maluku,25.76,25.95,26.08,26.05,26.07,25.88,25.46,24.98,24.85,25.41,25.97,26.38,26.09
Kepulauan-riau,27.65,27.08,27.34,27.71,27.84,28.14,27.95,27.72,27.69,27.64,27.69,27.68,27.36
Jawa Barat,25.89,25.62,25.81,25.97,26.31,25.94,25.63,25.49,25.78,25.75,26.35,26,26.04
Papua Barat,25.76,26.04,26.22,26.02,26.01,25.8,25.42,25.02,24.96,25.42,25.89,26.25,26.16
Gorontalo,24.45,24.45,24.55,24.64,24.06,24.86,24.41,24.13,24.21,24.2,24.5,24.73,24.72
Banten,27.03,26.43,26.61,26.89,27.43,27.04,26.96,27.07,27.32,27.12,27.65,26.9,26.98
Kalimantan Timur,26.31,25.75,25.91,26.3,26.75,26.76,26.48,26.35,26.44,26.44,26.22,26.27,26.08
Kalimantan Tengah,26.57,26.62,26.59,26.74,26.98,26.88,26.42,26.09,26.18,26.31,26.59,26.73,26.67
Kalimantan Selatan,26.58,26.29,26.25,26.3,27.06,26.97,26.55,26.26,26.4,26.52,26.95,26.95,26.48
Kalimantan Barat,26.75,26.52,26.55,26.88,26.95,27.05,26.74,26.67,26.73,26.8,26.79,26.69,26.61
Jawa Timur,26.65,26.61,26.65,26.74,26.89,26.51,26.16,25.9,26.11,26.41,27.33,27.36,27.09
Jawa Tengah,26.45,26.28,26.4,26.6,26.91,26.55,26.24,25.92,26.07,26.23,26.92,26.71,26.6
Nusatenggara Timur,25.06,25.52,25.36,25.34,25.42,24.81,24.23,23.76,23.8,24.64,25.74,26.37,25.77
Bangka Belitung,27.62,26.9,27.13,27.62,27.97,27.99,27.99,27.68,28.04,27.71,27.95,27.46,26.97
Nusatenggara Barat,25.42,25.52,25.39,25.5,25.77,25.24,24.9,24.43,24.37,25.3,26.19,26.47,25.94
Lampung,26.53,26.08,26.32,26.54,26.96,26.66,26.44,26.37,26.6,26.41,27.05,26.45,26.51
