,Indonesia,Nangroe Aceh Darussalam,Bali,Bengkulu,Daerah Istimewa Yogyakarta,Dki Jakarta,Jambi,Jawa Tengah,Jawa Timur,Kalimantan Barat,Kalimantan Selatan,Kalimantan Tengah,Kalimantan Timur,Lampung,Nusatenggara Barat,Nusatenggara Timur,Sulawesi Tengah,Sulawesi Tenggara,Sumatera Barat,Sumatera Utara,Bangka Belitung,Banten,Gorontalo,Papua Barat,Jawa Barat,Kepulauan-riau,Maluku,Maluku Utara,Papua,Riau,Sulawesi Barat,Sulawesi Selatan,Sulawesi Utara,Sumatera Selatan
1901,30.09,31.2,29.62,30.48,30.67,31.59,31.14,30.48,30.75,30.49,30.13,29.74,30.18,29.9,30.69,30.31,28.91,30.04,31.14,31.47,30.55,30.77,28.09,29.6,30.08,30.58,30.06,30.34,28.99,31.7,28.91,29.42,28.03,30.85
1902,30.06,31.26,29.59,30.38,30.54,31.45,31.06,30.35,30.66,30.45,30.12,29.7,30.18,29.76,30.69,30.31,28.91,30.04,31.1,31.47,30.43,30.63,28.09,29.6,29.94,30.54,30.06,30.34,28.99,31.66,28.91,29.42,28.03,30.73
1903,30.06,31.22,29.6,30.39,30.56,31.47,31.07,30.37,30.68,30.45,30.12,29.71,30.17,29.78,30.69,30.38,28.9,30.04,31.11,31.47,30.44,30.66,28.09,29.61,29.96,30.54,30.17,30.34,28.99,31.67,28.91,29.42,28.01,30.75
1904,30.05,31.13,29.61,30.43,30.6,31.52,31.1,30.42,30.71,30.47,30.12,29.72,30.15,29.84,30.69,30.24,28.9,30.04,31.12,31.46,30.49,30.7,28.08,29.6,30.01,30.56,29.93,30.34,28.9,31.68,28.91,29.42,27.97,30.79
1905,30.1,31.22,29.63,30.53,30.72,31.65,31.18,30.54,30.79,30.52,30.15,29.77,30.16,29.96,30.7,30.41,28.9,30.04,31.16,31.47,30.61,30.83,28.09,29.61,30.14,30.6,30.21,30.35,28.96,31.71,28.91,29.42,27.99,30.91
1906,30.1,31.24,29.62,30.48,30.67,31.59,31.14,30.48,30.75,30.5,30.13,29.74,30.17,29.9,30.69,30.5,28.9,30.04,31.14,31.47,30.55,30.77,28.09,29.62,30.08,30.58,30.36,30.35,29.02,31.7,28.91,29.42,28,30.86
1907,30.01,31.12,29.58,30.31,30.46,31.36,31,30.28,30.61,30.41,30.1,29.68,30.05,29.68,30.69,30.33,28.9,30.04,31.08,31.46,30.35,30.55,28.09,29.6,29.85,30.51,30.08,30.34,28.94,31.64,28.91,29.42,27.98,30.65
1908,30.09,31.09,29.63,30.51,30.71,31.64,31.17,30.53,30.78,30.51,30.14,29.76,30.15,29.95,30.69,30.36,28.9,30.04,31.15,31.46,30.59,30.82,28.09,29.61,30.13,30.6,30.13,30.34,28.95,31.71,28.91,29.42,28,30.9
1909,30.08,31.09,29.61,30.43,30.6,31.52,31.1,30.42,30.71,30.47,30.13,29.73,30.12,29.83,30.69,30.38,28.9,30.04,31.12,31.46,30.49,30.7,28.09,29.61,30.01,30.56,30.16,30.35,29.06,31.68,28.91,29.42,28,30.8
1910,30.06,31.09,29.59,30.37,30.54,31.45,31.06,30.35,30.67,30.44,30.12,29.7,30.1,29.77,30.69,30.36,28.9,30.04,31.1,31.46,30.42,30.64,28.09,29.61,29.94,30.54,30.13,30.34,29.04,31.66,28.91,29.42,28,30.73
1911,30.22,31.3,29.59,31,30.51,31.76,31.72,30.34,30.65,30.76,30.11,29.77,30.09,30.34,30.69,30.29,28.9,30.04,31.7,32.05,31.13,30.94,28.09,29.6,30.09,31.18,30.03,30.34,28.98,32.33,28.91,29.42,27.99,31.43
1912,30.28,31.32,29.64,31.1,30.71,31.94,31.84,30.54,30.78,30.82,30.14,29.83,30.09,30.49,30.69,30.36,28.9,30.04,31.79,32.12,31.25,31.12,28.09,29.61,30.29,31.28,30.13,30.34,29.01,32.43,28.91,29.42,28.02,31.55
1913,30.25,31.32,29.62,31.05,30.67,31.89,31.77,30.49,30.75,30.79,30.14,29.81,30.15,30.43,30.7,30.22,28.9,30.04,31.72,32.04,31.19,31.06,28.09,29.59,30.23,31.2,29.91,30.34,28.95,32.34,28.91,29.42,28.01,31.49
1914,30.34,31.41,29.66,31.29,30.81,32.1,32.05,30.65,30.86,30.92,30.16,29.87,30.17,30.67,30.7,30.29,28.91,30.04,31.98,32.28,31.45,31.27,28.09,29.6,30.41,31.49,30.02,30.34,28.93,32.64,28.91,29.42,28.02,31.76
1915,30.31,31.39,29.41,31.24,30.79,32.05,31.98,30.63,30.74,30.84,29.96,29.76,30.15,30.63,30.45,30.37,28.9,30.04,31.88,32.17,31.36,31.25,28.09,29.61,30.37,31.39,30.23,30.35,29.04,32.53,28.84,29.35,28.03,31.69
1916,30.15,31.24,29.11,30.89,30.36,31.63,31.6,30.19,30.36,30.65,29.73,29.55,30.1,30.23,30.22,30.32,28.9,30.02,31.57,31.92,30.98,30.84,28.09,29.62,29.94,31.05,30.24,30.35,29.04,32.18,28.77,29.28,28,31.32
1917,30.13,31.1,29.21,30.85,30.66,31.8,31.49,30.5,30.59,30.65,29.79,29.62,30.1,30.29,30.26,30.22,28.89,30.02,31.35,31.61,30.98,31.02,28.09,29.6,30.2,30.82,30.06,30.34,29.02,31.92,28.78,29.29,28,31.28
1918,30.03,31.06,29.11,30.69,30.49,31.71,31.28,30.32,30.44,30.54,29.73,29.54,30.07,30.16,30.2,30.18,28.89,30.02,31.16,31.44,30.8,30.92,28.09,29.6,30.06,30.62,30.02,30.34,28.9,31.71,28.77,29.27,27.98,31.11
1919,30.23,31.41,29.35,31.15,30.66,31.93,31.9,30.5,30.63,30.79,29.91,29.71,30.02,30.52,30.41,30.2,28.89,30.03,31.85,32.18,31.26,31.13,28.09,29.6,30.23,31.35,29.97,30.34,28.91,32.5,28.83,29.34,28.02,31.59
1920,30.24,31.28,29.35,31.13,30.7,31.94,31.86,30.54,30.66,30.79,29.92,29.71,30.06,30.48,30.43,30.39,28.9,30.03,31.76,32.03,31.25,31.12,28.09,29.62,30.27,31.25,30.28,30.35,28.99,32.39,28.83,29.34,28.01,31.57
1921,30.12,31.22,29.28,30.79,30.47,31.67,31.49,30.3,30.48,30.63,29.86,29.62,30,30.17,30.38,30.31,28.89,30.03,31.47,31.84,30.9,30.86,28.09,29.61,30.02,30.94,30.16,30.34,28.99,32.08,28.82,29.33,28,31.2
1922,30.13,31.16,29.15,30.94,30.5,31.76,31.63,30.33,30.46,30.67,29.76,29.59,30,30.32,30.23,30.17,28.89,30.03,31.55,31.86,31.04,30.95,28.09,29.6,30.07,31.03,29.98,30.34,28.97,32.16,28.77,29.28,28.02,31.37
1923,30.13,31.16,29.32,30.87,30.61,31.79,31.55,30.44,30.58,30.67,29.89,29.66,30.02,30.27,30.4,30.17,28.89,30.03,31.48,31.8,30.99,30.98,28.09,29.59,30.14,30.95,29.93,30.34,28.91,32.08,28.82,29.33,28.01,31.3
1924,30.17,31.11,29.57,30.85,30.85,31.91,31.48,30.68,30.85,30.69,30.09,29.8,30.04,30.32,30.61,30.38,28.9,30.04,31.35,31.59,30.98,31.1,28.09,29.52,30.33,30.85,30.19,30.27,29.02,31.89,28.89,29.4,28.01,31.28
1925,30.17,31.26,29.33,30.91,30.75,31.88,31.65,30.58,30.69,30.68,29.9,29.69,30.01,30.33,30.39,30.15,28.89,30.03,31.61,31.99,31.02,31.06,28.09,29.52,30.26,31.06,29.9,30.28,28.94,32.29,28.82,29.33,28.01,31.34
1926,30.33,31.45,29.63,31.15,30.99,32.11,31.95,30.82,30.95,30.83,30.12,29.87,30.07,30.59,30.64,30.4,28.9,30.04,31.93,32.33,31.29,31.3,28.09,29.57,30.5,31.4,30.22,30.31,29.04,32.67,28.9,29.41,28.01,31.6
1927,30.25,31.28,29.62,30.96,30.92,32.01,31.69,30.74,30.9,30.75,30.13,29.85,30.12,30.42,30.66,30.39,28.9,30.04,31.65,32.02,31.11,31.19,28.09,29.59,30.41,31.11,30.2,30.33,28.99,32.32,28.9,29.41,28.02,31.4
1928,30.27,31.33,29.68,30.95,30.92,32,31.71,30.75,30.92,30.76,30.17,29.86,30.11,30.41,30.71,30.36,28.9,30.05,31.68,32.08,31.11,31.17,28.09,29.59,30.41,31.14,30.12,30.33,29,32.37,28.92,29.43,28.02,31.4
1929,30.12,31.26,29.25,30.84,30.63,31.79,31.57,30.46,30.58,30.62,29.83,29.63,30,30.26,30.31,30.18,28.89,30.03,31.48,31.86,30.95,30.99,28.09,29.53,30.17,30.98,29.96,30.29,28.93,32.13,28.79,29.3,28,31.27
