,Annual,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Indonesia,21.42,21.47,21.47,21.64,21.84,21.75,21.37,20.98,20.94,21.07,21.34,21.53,21.66
Sumatera Selatan,22.81,22.79,22.71,22.68,23.23,23.13,22.84,22.44,22.7,22.42,22.93,22.83,23.01
Sulawesi Utara,20.61,20.85,20.77,20.85,20.57,20.88,20.7,20.41,20.24,20.13,20.25,20.74,20.89
Sulawesi Selatan,19.74,20.1,20.04,20.72,20.18,20.1,19.61,18.81,18.6,18.86,19.49,20.17,20.25
Bengkulu,21.07,21.22,20.86,20.79,21.38,21,21.13,20.78,20.85,20.63,21.02,21.38,21.8
Bali,21.11,21.72,21.53,21.51,21.52,21.1,20.67,20.26,19.92,20.29,21.27,21.53,21.94
Sumatera Barat,21.3,21.17,21.11,21.72,22.08,21.79,21.25,20.82,20.86,21.15,21.22,21.02,21.38
Nangroe Aceh Darussalam,19.71,19.39,19.57,19.87,20.31,20.02,19.64,19.33,19.25,19.44,19.69,20.06,19.96
Sulawesi Tenggara,20.95,21.36,21.27,21.34,21.44,21.23,20.85,20.16,19.76,20.07,20.79,21.6,21.53
Sulawesi Tengah,19.63,19.69,19.66,19.88,19.84,20.06,19.7,19.22,19.09,19.11,19.52,19.92,19.92
Jambi,23.34,23.1,23.08,23.36,23.63,23.68,23.82,23.31,23.38,23.54,23.03,22.67,23.42
Sulawesi Barat,19.1,19.22,19.17,20.17,19.51,19.49,19,18.37,18.23,18.37,18.92,19.35,19.39
Dki Jakarta,23.69,23.61,23.9,23.79,24,23.77,23.42,23.24,23.45,23.33,24.14,23.68,24.01
Riau,23.21,22.87,22.91,23.39,23.56,23.66,23.39,23.09,23.13,23.15,23.16,23.04,23.12
Daerah Istimewa Yogyakarta,22.01,22.37,22.36,22.47,22.66,22.13,21.53,20.88,20.93,21.36,22.48,22.36,22.64
Sumatera Utara,20.75,20.31,20.32,20.91,21.24,21.16,20.74,20.62,20.74,20.67,20.66,20.71,20.86
Papua,19.85,20.14,20.16,20.22,20.27,20.15,19.68,19.2,19.16,19.31,19.65,19.93,20.3
Maluku Utara,20.28,20.92,20.35,20.29,20.35,20.51,20.52,20.47,19.74,19.76,19.83,20.34,20.34
Maluku,21.55,21.93,21.96,21.76,21.76,21.75,21.53,21.04,20.76,21.1,21.42,21.83,21.81
Kepulauan-riau,23.91,23.44,23.53,23.85,23.95,24.38,24.34,24.23,24.22,23.93,23.78,23.68,23.56
Jawa Barat,20.96,21.16,21.26,21.17,21.39,20.98,20.57,20.33,20.45,20.48,21.23,21.05,21.43
Papua Barat,22.02,22.05,22.24,22.02,22.26,22.26,21.89,21.72,21.61,21.84,22.09,22.23,22.1
Gorontalo,20.53,20.62,20.72,20.78,20.57,20.89,20.5,20.2,20.05,19.98,20.23,20.94,20.94
Banten,22.48,22.6,22.65,22.6,22.91,22.29,22.11,22.18,22.31,22.06,22.83,22.36,22.85
Kalimantan Timur,22.13,21.9,21.84,22.15,22.57,22.54,22.17,22.09,22.05,21.94,21.96,22.17,22.18
Kalimantan Tengah,22.9,22.89,22.93,23.15,23.42,23.49,22.94,22.42,22.44,22.68,22.74,22.85,22.88
Kalimantan Selatan,22.72,22.84,22.71,23.16,23.44,23.16,22.6,22.19,22.04,22.16,22.47,22.99,22.89
Kalimantan Barat,22.37,22.15,22.3,22.48,22.75,22.88,22.56,22.16,22.08,22.39,22.22,22.25,22.26
Jawa Timur,21.95,22.34,22.35,22.32,22.28,21.91,21.48,21.01,21.03,21.24,22.3,22.54,22.68
Jawa Tengah,21.74,21.87,22.03,22.12,22.32,21.91,21.42,20.9,20.94,21.15,22.09,22.01,22.17
Nusatenggara Timur,19.78,20.79,20.64,20.49,20.22,19.6,18.85,18.03,17.84,18.77,20.06,21.22,20.98
Bangka Belitung,23.6,23.29,23.28,23.59,23.8,23.95,23.82,23.48,23.73,23.49,23.81,23.51,23.42
Nusatenggara Barat,19.96,20.88,20.51,20.58,20.51,19.82,19.35,18.48,18.12,19.03,20.14,21.07,21.08
Lampung,22.18,22.27,22.31,22.16,22.68,22.01,21.99,21.7,21.82,21.77,22.54,22.17,22.71
