,Indonesia,Nangroe Aceh Darussalam,Bali,Bengkulu,Daerah Istimewa Yogyakarta,Dki Jakarta,Jambi,Jawa Tengah,Jawa Timur,Kalimantan Barat,Kalimantan Selatan,Kalimantan Tengah,Kalimantan Timur,Lampung,Nusatenggara Barat,Nusatenggara Timur,Sulawesi Tengah,Sulawesi Tenggara,Sumatera Barat,Sumatera Utara,Bangka Belitung,Banten,Gorontalo,Papua Barat,Jawa Barat,Kepulauan-riau,Maluku,Maluku Utara,Papua,Riau,Sulawesi Barat,Sulawesi Selatan,Sulawesi Utara,Sumatera Selatan
1901,20.76,19.03,20.64,19.77,20.72,22.21,21.99,20.4,21.02,21.45,22.32,22.23,21.67,20.65,19.66,19.62,19.44,20.85,20.15,19.7,22.2,21,20.17,21.72,19.5,22.81,21.6,20.19,19.62,22.01,18.93,19.59,20.2,21.37
1902,20.73,19.09,20.6,19.67,20.6,22.08,21.91,20.28,20.93,21.4,22.31,22.19,21.67,20.52,19.66,19.62,19.44,20.85,20.11,19.7,22.08,20.86,20.17,21.72,19.36,22.76,21.6,20.19,19.61,21.97,18.93,19.59,20.2,21.25
1903,20.74,19.04,20.61,19.69,20.61,22.1,21.92,20.29,20.95,21.41,22.31,22.19,21.65,20.54,19.66,19.69,19.44,20.85,20.12,19.7,22.09,20.89,20.17,21.73,19.38,22.77,21.72,20.2,19.62,21.98,18.93,19.59,20.18,21.27
1904,20.72,18.95,20.62,19.72,20.66,22.15,21.95,20.35,20.98,21.43,22.32,22.21,21.64,20.6,19.66,19.54,19.44,20.85,20.13,19.69,22.14,20.94,20.16,21.71,19.44,22.79,21.48,20.19,19.53,21.99,18.93,19.59,20.14,21.32
1905,20.77,19.05,20.64,19.82,20.77,22.28,22.03,20.46,21.06,21.48,22.34,22.25,21.64,20.72,19.67,19.71,19.44,20.85,20.17,19.7,22.26,21.06,20.17,21.73,19.56,22.83,21.75,20.2,19.59,22.02,18.93,19.59,20.16,21.43
1906,20.77,19.07,20.64,19.77,20.72,22.22,21.99,20.41,21.02,21.45,22.33,22.23,21.65,20.66,19.66,19.81,19.44,20.85,20.14,19.7,22.21,21,20.17,21.74,19.5,22.81,21.91,20.2,19.64,22.01,18.93,19.59,20.18,21.38
1907,20.71,18.94,20.6,19.6,20.51,21.99,21.85,20.2,20.88,21.37,22.3,22.16,21.75,20.44,19.66,19.63,19.45,20.85,20.09,19.69,22,20.78,20.17,21.72,19.27,22.73,21.63,20.19,19.56,21.95,18.93,19.59,20.16,21.17
1908,20.76,18.92,20.64,19.81,20.76,22.27,22.02,20.45,21.05,21.47,22.33,22.24,21.67,20.71,19.67,19.66,19.44,20.85,20.16,19.69,22.25,21.06,20.17,21.72,19.55,22.82,21.67,20.19,19.57,22.02,18.93,19.59,20.18,21.42
1909,20.76,18.91,20.62,19.72,20.65,22.15,21.95,20.34,20.98,21.43,22.32,22.21,21.69,20.59,19.66,19.68,19.44,20.85,20.13,19.69,22.14,20.94,20.17,21.73,19.43,22.78,21.71,20.2,19.68,21.99,18.93,19.59,20.18,21.32
1910,20.74,18.91,20.6,19.67,20.6,22.08,21.91,20.28,20.93,21.4,22.31,22.19,21.72,20.53,19.66,19.66,19.44,20.85,20.11,19.69,22.08,20.87,20.17,21.73,19.36,22.77,21.68,20.2,19.67,21.97,18.93,19.59,20.17,21.25
1911,20.91,19.12,20.6,20.29,20.57,22.38,22.57,20.26,20.91,21.72,22.31,22.26,21.72,21.1,19.66,19.6,19.44,20.85,20.71,20.28,22.78,21.17,20.17,21.72,19.51,23.41,21.58,20.19,19.6,22.64,18.93,19.59,20.16,21.95
1912,20.97,19.15,20.65,20.4,20.77,22.57,22.69,20.46,21.05,21.78,22.34,22.31,21.74,21.26,19.67,19.66,19.44,20.85,20.8,20.35,22.91,21.36,20.17,21.73,19.71,23.51,21.67,20.19,19.63,22.74,18.93,19.59,20.18,22.07
1913,20.92,19.15,20.63,20.34,20.72,22.52,22.62,20.42,21.02,21.75,22.33,22.3,21.66,21.19,19.67,19.53,19.44,20.85,20.73,20.27,22.84,21.3,20.17,21.71,19.65,23.43,21.45,20.19,19.57,22.65,18.93,19.59,20.18,22.01
1914,21.01,19.24,20.68,20.58,20.87,22.72,22.9,20.57,21.12,21.88,22.35,22.35,21.66,21.43,19.67,19.59,19.44,20.85,20.99,20.51,23.11,21.5,20.17,21.72,19.83,23.71,21.56,20.19,19.56,22.95,18.93,19.59,20.19,22.28
1915,20.98,19.21,20.42,20.53,20.84,22.67,22.82,20.55,21.01,21.8,22.15,22.24,21.63,21.39,19.42,19.67,19.44,20.84,20.89,20.4,23.02,21.48,20.17,21.73,19.79,23.62,21.78,20.2,19.66,22.84,18.86,19.52,20.2,22.21
1916,20.82,19.07,20.12,20.19,20.41,22.26,22.45,20.12,20.63,21.6,21.93,22.03,21.57,21,19.2,19.63,19.43,20.83,20.58,20.15,22.64,21.07,20.16,21.74,19.37,23.28,21.79,20.2,19.67,22.49,18.79,19.45,20.17,21.84
1917,20.8,18.93,20.22,20.14,20.71,22.43,22.34,20.42,20.85,21.6,21.99,22.11,21.59,21.05,19.23,19.52,19.43,20.83,20.36,19.84,22.63,21.25,20.17,21.72,19.62,23.05,21.61,20.19,19.64,22.23,18.8,19.46,20.17,21.8
1918,20.71,18.89,20.12,19.98,20.54,22.33,22.13,20.25,20.71,21.5,21.92,22.02,21.59,20.92,19.17,19.49,19.43,20.83,20.16,19.67,22.45,21.16,20.17,21.72,19.49,22.84,21.56,20.19,19.52,22.02,18.79,19.44,20.15,21.63
